feature,source_strategy,source_kind
The product provides the product provides Verticalfieldofview:47° MotionJPEG:15fps(50/60Hz)inallresolutions.,text_extraction_agent,raw_text
The product provides the product provides Minimumfocusdistance:0.3m(1ft).,text_extraction_agent,raw_text
"The product provides the product provides M12mount,fixediris.",text_extraction_agent,raw_text
The product provides the product provides Videostreaming.,text_extraction_agent,raw_text
"The product provides the product provides 2.8mm,F1.2:.",text_extraction_agent,raw_text
The product provides the product provides Upto4uniqueandconfigurablevideostreams1.,text_extraction_agent,raw_text
The product provides the product provides Horizontalfieldofview:107°.,text_extraction_agent,raw_text
"The product provides the product provides Multiple,individuallyconfigurablestreamsinH.264,.",text_extraction_agent,raw_text
The product provides the product provides Verticalfieldofview:56°.,text_extraction_agent,raw_text
The product provides the product provides H.265andMotionJPEG.,text_extraction_agent,raw_text
The product provides the product provides Minimumfocusdistance:0.3m(1ft).,text_extraction_agent,raw_text
The product provides the product provides AxisZipstreamtechnologyinH.264andH.265.,text_extraction_agent,raw_text
"The product provides the product provides M12mount,fixediris.",text_extraction_agent,raw_text
The product provides the product provides Controllableframerateandbandwidth.,text_extraction_agent,raw_text
The product provides the product provides SeeOptionalaccessoriesforexchangeablelenses.,text_extraction_agent,raw_text
The product provides the product provides VBR/ABR/MBRH.264andH.265.,text_extraction_agent,raw_text
The product provides the product provides Videostreamingindicator.,text_extraction_agent,raw_text
The product provides the product provides Minimum illumination.,text_extraction_agent,raw_text
"The product provides the product provides 3.6mm,F2.0:.",text_extraction_agent,raw_text
The product provides the product provides Color:0.04luxat30IREF2.0.,text_extraction_agent,raw_text
The product provides the product provides ForensicWDR:Upto120dBdependingonscene.,text_extraction_agent,raw_text
The product provides the product provides Color:0.13luxat50IREF2.0.,text_extraction_agent,raw_text
"The product provides the product provides 2.8mm,F1.2:.",text_extraction_agent,raw_text
The product provides the product provides Color:0.02luxat30IREF1.2 Noisereduction.,text_extraction_agent,raw_text
The product provides the product provides Color:0.07luxat50IREF1.2 Spatialfilter(2Dnoisereduction).,text_extraction_agent,raw_text
The product provides the product provides Temporalfilter(3Dnoisereduction).,text_extraction_agent,raw_text
The product provides the product provides Shutterspeed.,text_extraction_agent,raw_text
The product provides the product provides WithWDR:1/19000sto1/5s Imagesettings.,text_extraction_agent,raw_text
"The product provides the product provides NoWDR:1/17000sto1/5s Compression,brightness,sharpness,contrast,white.",text_extraction_agent,raw_text
"The product provides the product provides balance,ForensicWDR,exposurecontrol,exposure.",text_extraction_agent,raw_text
"The product provides the product provides zones,finetuningofbehavioratlowlight,rotation:0°,.",text_extraction_agent,raw_text
The product provides the product provides Camera adjustment.,text_extraction_agent,raw_text
"The product provides the product provides 90°,180°,270°includingCorridorFormat,dynamic.",text_extraction_agent,raw_text
The product provides the product provides Pan:±30°.,text_extraction_agent,raw_text
"The product provides the product provides overlay,32individualpolygonalprivacymask,mirroring.",text_extraction_agent,raw_text
The product provides the product provides Tilt:15-90°.,text_extraction_agent,raw_text
The product provides the product provides ofimages.,text_extraction_agent,raw_text
The product provides the product provides Rotation:±175°.,text_extraction_agent,raw_text
"The product provides the product provides Sceneprofiles:forensic,vivid,trafficoverview.",text_extraction_agent,raw_text
The product provides the product provides System on chip (SoC).,text_extraction_agent,raw_text
The product provides the product provides Imageprocessing.,text_extraction_agent,raw_text
"The product provides the product provides AxisZipstream,ForensicWDR,Lightfinder.",text_extraction_agent,raw_text
The product provides the product provides Model.,text_extraction_agent,raw_text
The product provides the product provides S6LM55.,text_extraction_agent,raw_text
The product provides the product provides Pan/Tilt/Zoom.,text_extraction_agent,raw_text
"The product provides the product provides DigitalPTZ,presetpositions,guardtour,controlqueue.",text_extraction_agent,raw_text
The product provides the product provides Memory.,text_extraction_agent,raw_text
"The product provides the product provides 1024MBRAM,512MBFlash.",text_extraction_agent,raw_text
"The product provides the product provides 1. Werecommendamaximumof3uniquevideostreamspercameraorchannel,foroptimizeduserexperience,networkbandwidth,andstorage.",text_extraction_agent,raw_text
The product provides the product provides utilization.Auniquevideostreamcanbeservedtomanyvideoclientsinthenetworkusingmulticastorunicasttransportmethodviabuilt-in.,text_extraction_agent,raw_text
The product provides the product provides streamreusefunctionality.,text_extraction_agent,raw_text
The product provides the product provides Eventactions.,text_extraction_agent,raw_text
The product provides the product provides Network.,text_extraction_agent,raw_text
The product provides the product provides Guardtours.,text_extraction_agent,raw_text
"The product provides the product provides Uploadimagesorvideoclips:FTP,HTTP,HTTPS,SFTP,.",text_extraction_agent,raw_text
The product provides the product provides Network protocols emailandnetworkshare.,text_extraction_agent,raw_text
"The product provides the product provides IPv4,IPv6USGv6,HTTP,HTTPS2,HTTP/2,TLS2,QoSLayer Notification:HTTP,HTTPS,TCPandemail.",text_extraction_agent,raw_text
"The product provides the product provides 3DiffServ,FTP,SFTP,CIFS/SMB,SMTP,mDNS(Bonjour), Overlaytext.",text_extraction_agent,raw_text
"The product provides the product provides UPnP®,SNMPv1/v2c/v3(MIB-II),DNS/DNSv6,DDNS, Presetpositions.",text_extraction_agent,raw_text
"The product provides the product provides NTP,PTP,RTSP,RTP,SRTP,TCP,UDP,IGMPv1/v2/v3, Recordvideo:SDcardandnetworkshare.",text_extraction_agent,raw_text
"The product provides the product provides RTCP,ICMP,DHCPv4/v6,ARP,SOCKS,SSH,LLDP,CDP, SNMPtrapmessages.",text_extraction_agent,raw_text
"The product provides the product provides MQTTv3.1.1,Syslog,Link-Localaddress(ZeroConf) WDRmode.",text_extraction_agent,raw_text
The product provides the product provides MQTTpublish.,text_extraction_agent,raw_text
The product provides the product provides System integration.,text_extraction_agent,raw_text
The product provides the product provides Built-in installationaids.,text_extraction_agent,raw_text
The product provides the product provides Pixelcounter.,text_extraction_agent,raw_text
The product provides the product provides ApplicationProgramming Interface.,text_extraction_agent,raw_text
"The product provides the product provides OpenAPIforsoftwareintegration,includingVAPIX® Analytics.",text_extraction_agent,raw_text
The product provides the product provides andAXISCameraApplicationPlatform(ACAP);.,text_extraction_agent,raw_text
The product provides the product provides specificationsataxis.com/developer-community.,text_extraction_agent,raw_text
The product provides the product provides One-clickcloudconnection Applications.,text_extraction_agent,raw_text
"The product provides the product provides ONVIF®ProfileG,ONVIF®ProfileM,ONVIF®ProfileS Included.",text_extraction_agent,raw_text
"The product provides the product provides andONVIF®ProfileT,specificationatonvif.org AXISVideoMotionDetection,activetamperingalarm3.",text_extraction_agent,raw_text
The product provides the product provides Supported.,text_extraction_agent,raw_text
"The product provides the product provides AXISFenceGuard,AXISLoiteringGuard,AXISMotion.",text_extraction_agent,raw_text
The product provides the product provides Videomanagementsystems.,text_extraction_agent,raw_text
The product provides the product provides Guard.,text_extraction_agent,raw_text
"The product provides the product provides CompatiblewithAXISCameraStationEdge,.",text_extraction_agent,raw_text
The product provides the product provides SupportforAXISCameraApplicationPlatformenabling.,text_extraction_agent,raw_text
"The product provides the product provides AXISCameraStationPro,AXISCameraStation5,and.",text_extraction_agent,raw_text
"The product provides the product provides installationofthird-partyapplications,seeaxis.com/.",text_extraction_agent,raw_text
The product provides the product provides videomanagementsoftwarefromAxis’partners.,text_extraction_agent,raw_text
The product provides the product provides acap.,text_extraction_agent,raw_text
The product provides the product provides availableataxis.com/vms.,text_extraction_agent,raw_text
The product provides the product provides Approvals.,text_extraction_agent,raw_text
The product provides the product provides Onscreencontrols.,text_extraction_agent,raw_text
The product provides the product provides Videostreamingindicator.,text_extraction_agent,raw_text
The product provides the product provides Widedynamicrange.,text_extraction_agent,raw_text
The product provides the product provides Product markings.,text_extraction_agent,raw_text
The product provides the product provides Privacymasks.,text_extraction_agent,raw_text
"The product provides the product provides CE,ECE,KC,RCM,UL/cUL,UKCA,VCCI,WEEE.",text_extraction_agent,raw_text
The product provides the product provides Eventconditions.,text_extraction_agent,raw_text
The product provides the product provides Supply chain.,text_extraction_agent,raw_text
"The product provides the product provides Devicestatus:aboveoperatingtemperature,aboveor.",text_extraction_agent,raw_text
The product provides the product provides TAAcompliant.,text_extraction_agent,raw_text
"The product provides the product provides belowoperatingtemperature,belowoperating.",text_extraction_agent,raw_text
The product provides the product provides NDAAcompliant.,text_extraction_agent,raw_text
"The product provides the product provides temperature,IPaddressremoved,networklost,newIP.",text_extraction_agent,raw_text
"The product provides the product provides address,storagefailure,systemready,withinoperating.",text_extraction_agent,raw_text
The product provides the product provides temperature EMC.,text_extraction_agent,raw_text
"The product provides the product provides Edgestorage:recordingongoing,storagedisruption EN55032ClassA,EN55035,EN61000-6-1,.",text_extraction_agent,raw_text
"The product provides the product provides I/O:manualtrigger,virtualinput EN61000-6-2,ECER10rev.06(Eapproval),EN50498,.",text_extraction_agent,raw_text
The product provides the product provides MQTTsubscribe Australia/NewZealand:RCMAS/NZSCISPR32ClassA.,text_extraction_agent,raw_text
The product provides the product provides Scheduledandrecurring:scheduledevent Canada:ICES-3(A)/NMB-3(A).,text_extraction_agent,raw_text
"The product provides the product provides Video:averagebitratedegradation,livestreamopen, Japan:VCCIClassA,.",text_extraction_agent,raw_text
"The product provides the product provides tampering Korea:KSC9835,KSC9832ClassA,.",text_extraction_agent,raw_text
The product provides the product provides USA:FCCPart15SubpartBClassA.,text_extraction_agent,raw_text
The product provides the product provides Safety.,text_extraction_agent,raw_text
"The product provides the product provides IEC/EN/UL62368-1,CAN/CSAC22.2No.62368-1,.",text_extraction_agent,raw_text
The product provides the product provides UNECER118.,text_extraction_agent,raw_text
The product provides the product provides IS13252.,text_extraction_agent,raw_text
"The product provides 2. ThisproductincludessoftwaredevelopedbytheOpenSSLProjectforuseintheOpenSSLToolkit.(openssl.org),andcryptographicsoftware.",text_extraction_agent,raw_text
The product provides the product provides writtenbyEricYoung(eay@cryptsoft.com).,text_extraction_agent,raw_text
The product provides the product provides 3. Fordetectionoftamperingattemptsinstaticandnon-crowdedscenes.,text_extraction_agent,raw_text
The product provides the product provides Environment Power.,text_extraction_agent,raw_text
"The product provides the product provides IEC/EN60529IP66,IEC/EN60529IP67, PoweroverEthernet(PoE)IEEE802.3af/802.3atType1.",text_extraction_agent,raw_text
"The product provides the product provides IEC/EN62262IK10, Class1.",text_extraction_agent,raw_text
"The product provides the product provides IEC60721-3-5Class5M3(vibrationandshock), Typical2.2W,max3.8W.",text_extraction_agent,raw_text
"The product provides the product provides IEC60068-2-1,IEC60068-2-2,IEC60068-2-27,.",text_extraction_agent,raw_text
"The product provides the product provides IEC60068-2-64,IEC60068-2-78,IEC60068–2–14.",text_extraction_agent,raw_text
The product provides the product provides Connectors.,text_extraction_agent,raw_text
"The product provides the product provides RJ45:male,10BASE-T/100BASE-TX.",text_extraction_agent,raw_text
"The product provides the product provides Network M12:female,rugged,D-codedwithrotatablecoupling.",text_extraction_agent,raw_text
The product provides the product provides NISTSP500-267 nut.,text_extraction_agent,raw_text
The product provides the product provides AllconnectorssupportPoE.,text_extraction_agent,raw_text
The product provides the product provides Cybersecurity.,text_extraction_agent,raw_text
"The product provides the product provides ETSIEN303645,BSIITSecurityLabel Storage.",text_extraction_agent,raw_text
The product provides the product provides SupportformicroSD/microSDHC/microSDXCcardwith.,text_extraction_agent,raw_text
The product provides the product provides UHSSpeedClassU1.,text_extraction_agent,raw_text
The product provides the product provides Cybersecurity.,text_extraction_agent,raw_text
The product provides the product provides Supportforrecordingtonetwork-attachedstorage.,text_extraction_agent,raw_text
The product provides the product provides (NAS).,text_extraction_agent,raw_text
The product provides the product provides ForSDcardandNASrecommendationsseeaxis.com.,text_extraction_agent,raw_text
The product provides the product provides Edge security.,text_extraction_agent,raw_text
"The product provides the product provides Software:SignedOS,bruteforcedelayprotection,.",text_extraction_agent,raw_text
The product provides the product provides digestauthenticationandOAuth2.0RFC6749Client Operating conditions.,text_extraction_agent,raw_text
The product provides the product provides CredentialFlow/OpenIDAuthorizationCodeFlowfor -30°Cto55°C(-22°Fto131°F).,text_extraction_agent,raw_text
"The product provides the product provides centralizedADFSaccountmanagement,password Maximum(intermittent):70°C(158°F).",text_extraction_agent,raw_text
"The product provides the product provides protection,AES-XTS-Plain64256bitSDcardencryption Humidity:10-100%RH(condensing).",text_extraction_agent,raw_text
The product provides the product provides Hardware:AxisEdgeVaultcybersecurityplatform.,text_extraction_agent,raw_text
"The product provides the product provides Secureelement(CCEAL6+),system-on-chipsecurity.",text_extraction_agent,raw_text
"The product provides the product provides (TEE),AxisdeviceID,securekeystore,signedvideo, Storage conditions.",text_extraction_agent,raw_text
"The product provides the product provides secureboot,encryptedfilesystem(AES-XTS-Plain64 -40°Cto65°C(-40°Fto149°F).",text_extraction_agent,raw_text
The product provides the product provides 256bit).,text_extraction_agent,raw_text
The product provides the product provides Dimensions.,text_extraction_agent,raw_text
"The product provides the product provides Network security Height:50mm(1.97in),ø110mm(4.33in).",text_extraction_agent,raw_text
"The product provides the product provides IEEE802.1x(EAP-TLS,PEAP-MSCHAPv2)4,.",text_extraction_agent,raw_text
"The product provides the product provides IEEE802.1AE(MACsecPSK/EAP-TLS),IEEE802.1AR,.",text_extraction_agent,raw_text
The product provides the product provides Weight.,text_extraction_agent,raw_text
"The product provides the product provides HTTPS/HSTS4,TLSv1.2/v1.34,NetworkTimeSecurity.",text_extraction_agent,raw_text
The product provides the product provides 241g(0.53lb).,text_extraction_agent,raw_text
"The product provides the product provides (NTS),X.509CertificatePKI,host-basedfirewall.",text_extraction_agent,raw_text
The product provides the product provides Boxcontent.,text_extraction_agent,raw_text
The product provides the product provides Documentation.,text_extraction_agent,raw_text
"The product provides the product provides Camera,Installationguide,Windows®decoder1-user.",text_extraction_agent,raw_text
The product provides the product provides AXISHardeningGuide.,text_extraction_agent,raw_text
"The product provides the product provides license,lenstool.",text_extraction_agent,raw_text
The product provides the product provides AXISVulnerabilityManagementPolicy.,text_extraction_agent,raw_text
The product provides the product provides AXISSecurityDevelopmentModel.,text_extraction_agent,raw_text
The product provides the product provides AXISOSSoftwareBillofMaterial(SBOM) Optional accessories.,text_extraction_agent,raw_text
"The product provides the product provides Todownloaddocuments,gotoaxis.com/support/ Lenses.",text_extraction_agent,raw_text
"The product provides the product provides cybersecurity/resources LensM122.1mm,F2.2:horizontalfieldofview145°.",text_extraction_agent,raw_text
"The product provides the product provides ToreadmoreaboutAxiscybersecuritysupport,goto LensM122.8mm,F1.2:horizontalfieldofview107°.",text_extraction_agent,raw_text
"The product provides the product provides axis.com/cybersecurity LensM123.6mm,F2.0:horizontalfieldofview88°.",text_extraction_agent,raw_text
"The product provides the product provides LensM126mm,F1.6:horizontalfieldofview51°.",text_extraction_agent,raw_text
"The product provides the product provides General LensM128mm,F1.6:horizontalfieldofview39°.",text_extraction_agent,raw_text
The product provides the product provides Other.,text_extraction_agent,raw_text
"The product provides the product provides AXIST94D01SMountBracket,.",text_extraction_agent,raw_text
"The product provides the product provides Casing AXIST94D02SCurvedMountBracket,.",text_extraction_agent,raw_text
"The product provides the product provides IP66/67-andIK10-ratedaluminumandpolycarbonate NetworkcouplerIP66,Networkcablecouplerindoor,.",text_extraction_agent,raw_text
"The product provides the product provides casing TM3101PendantWallMount,AXISTP3826-Ehousing,.",text_extraction_agent,raw_text
"The product provides the product provides TP3827ClearDomeCover,TP3830TopBlackCover.",text_extraction_agent,raw_text
"The product provides the product provides Formoreaccessories,seeaxis.com/products/axis-.",text_extraction_agent,raw_text
The product provides the product provides Mounting.,text_extraction_agent,raw_text
The product provides the product provides m3905-r#accessories.,text_extraction_agent,raw_text
The product provides the product provides Insidevehicles.,text_extraction_agent,raw_text
"The product provides 4. ThisproductincludessoftwaredevelopedbytheOpenSSLProjectforuseintheOpenSSLToolkit.(openssl.org),andcryptographicsoftware.",text_extraction_agent,raw_text
The product provides the product provides writtenbyEricYoung(eay@cryptsoft.com).,text_extraction_agent,raw_text
The product provides the product provides System tools.,text_extraction_agent,raw_text
"The product provides the product provides AXISSiteDesigner,AXISDeviceManager,product.",text_extraction_agent,raw_text
"The product provides the product provides selector,accessoryselector,lenscalculator.",text_extraction_agent,raw_text
The product provides the product provides Availableataxis.com.,text_extraction_agent,raw_text
The product provides the product provides Languages.,text_extraction_agent,raw_text
"The product provides the product provides English,German,French,Spanish,Italian,Russian,.",text_extraction_agent,raw_text
"The product provides the product provides SimplifiedChinese,Japanese,Korean,Portuguese,.",text_extraction_agent,raw_text
"The product provides the product provides Polish,TraditionalChinese,Dutch,Czech,Swedish,.",text_extraction_agent,raw_text
"The product provides the product provides Finnish,Turkish,Thai,Vietnamese.",text_extraction_agent,raw_text
The product provides the product provides Warranty.,text_extraction_agent,raw_text
"The product provides the product provides 5-yearwarranty,seeaxis.com/warranty.",text_extraction_agent,raw_text
The product provides the product provides Partnumbers.,text_extraction_agent,raw_text
The product provides the product provides Availableataxis.com/products/axis-m3905-r#part-.,text_extraction_agent,raw_text
The product provides the product provides numbers.,text_extraction_agent,raw_text
The product provides the product provides Sustainability.,text_extraction_agent,raw_text
The product provides the product provides Substancecontrol.,text_extraction_agent,raw_text
"The product provides the product provides PVCfree,BFR/CFRfree.",text_extraction_agent,raw_text
The product provides the product provides RoHSinaccordancewithEURoHSDirective2011/65/.,text_extraction_agent,raw_text
The product provides the product provides EU/andEN63000:2018.,text_extraction_agent,raw_text
The product provides the product provides REACHinaccordancewith(EC)No1907/2006.ForSCIP.,text_extraction_agent,raw_text
"The product provides the product provides UUID,seeaxis.com/partner.",text_extraction_agent,raw_text
The product provides the product provides Materials.,text_extraction_agent,raw_text
The product provides the product provides Recycledaluminum:95%.,text_extraction_agent,raw_text
The product provides the product provides ScreenedforconflictmineralsinaccordancewithOECD.,text_extraction_agent,raw_text
The product provides the product provides guidelines.,text_extraction_agent,raw_text
"The product provides the product provides ToreadmoreaboutsustainabilityatAxis,gotoaxis.",text_extraction_agent,raw_text
The product provides the product provides com/about-axis/sustainability.,text_extraction_agent,raw_text
The product provides the product provides Environmentalresponsibility.,text_extraction_agent,raw_text
The product provides the product provides axis.com/environmental-responsibility.,text_extraction_agent,raw_text
The product provides the product provides AxisCommunicationsisasignatoryoftheUNGlobal.,text_extraction_agent,raw_text
"The product provides the product provides Compact,readmoreatunglobalcompact.org.",text_extraction_agent,raw_text
"The product provides the product provides Detect,Observe,Recognize, Identify(DORI).",text_extraction_agent,raw_text
The product provides the product provides 3.6mmlens DORIdefinition Distance.,text_extraction_agent,raw_text
The product provides the product provides Detect 25px/m(8px/ft) 50.6m(166.0ft).,text_extraction_agent,raw_text
The product provides the product provides Observe 63px/m(19px/ft) 20.1m(65.9ft).,text_extraction_agent,raw_text
The product provides the product provides Recognize 125px/m(38px/ft) 10.1m(33.1ft).,text_extraction_agent,raw_text
The product provides the product provides Identify 250px/m(76px/ft) 5.1m(16.7ft).,text_extraction_agent,raw_text
The product provides the product provides 2.8mmlens DORIdefinition Distance.,text_extraction_agent,raw_text
The product provides the product provides Detect 25px/m(8px/ft) 21.1m(69.2ft).,text_extraction_agent,raw_text
The product provides the product provides Observe 63px/m(19px/ft) 7.4m(24.3ft).,text_extraction_agent,raw_text
The product provides the product provides Recognize 125px/m(38px/ft) 4.2m(13.8ft).,text_extraction_agent,raw_text
The product provides the product provides Identify 250px/m(76px/ft) 2.1m(6.9ft).,text_extraction_agent,raw_text
The product provides the product provides Axis calculates the DORI values using pixel densities for.,text_extraction_agent,raw_text
The product provides the product provides different use cases as recommended by the EN-62676-4.,text_extraction_agent,raw_text
The product provides the product provides standard. The calculations use the center of the image as.,text_extraction_agent,raw_text
The product provides the product provides the reference point and consider lens distortion. The.,text_extraction_agent,raw_text
The product provides the product provides possibility to recognize or identify a person or object.,text_extraction_agent,raw_text
"The product provides the product provides depends on factors such as object motion, video.",text_extraction_agent,raw_text
"The product provides the product provides compression, lighting conditions, and camera focus. Use.",text_extraction_agent,raw_text
The product provides the product provides margins when planning. The pixel density varies across.,text_extraction_agent,raw_text
"The product provides the product provides the image, and the calculated values can differ from the.",text_extraction_agent,raw_text
The product provides the product provides distancesintherealworld.,text_extraction_agent,raw_text
The product provides the product provides www.axis.com T10184436/EN/M22.2/202511.,text_extraction_agent,raw_text
The product provides the product provides Highlightedcapabilities.,text_extraction_agent,raw_text
"The product provides the product provides Axis EdgeVault color may be the critical factor to identify a person, an.",text_extraction_agent,raw_text
"The product provides the product provides object,oravehicle.",text_extraction_agent,raw_text
The product provides the product provides Axis Edge Vault is the hardware-based cybersecurity.,text_extraction_agent,raw_text
The product provides the product provides platform that safeguards the Axis device. It forms the.,text_extraction_agent,raw_text
"The product provides the product provides Formoreinformation,seeaxis.com/glossary.",text_extraction_agent,raw_text
The product provides the product provides foundation that all secure operations depend on and.,text_extraction_agent,raw_text
"The product provides the product provides offer features to protect the device’s identity, safeguard.",text_extraction_agent,raw_text
The product provides the product provides its integrity and protect sensitive information from.,text_extraction_agent,raw_text
"The product provides the product provides unauthorized access. For instance, secure boot ensures.",text_extraction_agent,raw_text
"The product provides the product provides that a device can boot only with signed OS, which.",text_extraction_agent,raw_text
The product provides the product provides prevents physical supply chain tampering. With signed.,text_extraction_agent,raw_text
"The product provides the product provides OS, the device is also able to validate new device.",text_extraction_agent,raw_text
The product provides the product provides software before accepting to install it. And the secure.,text_extraction_agent,raw_text
The product provides the product provides keystore is the critical building-block for protecting.,text_extraction_agent,raw_text
The product provides the product provides cryptographic information used for secure.,text_extraction_agent,raw_text
"The product provides the product provides communication (IEEE 802.1X, HTTPS, Axis device ID,.",text_extraction_agent,raw_text
The product provides the product provides access control keys etc.) against malicious extraction in.,text_extraction_agent,raw_text
The product provides the product provides the event of a security breach. The secure keystore and.,text_extraction_agent,raw_text
The product provides the product provides secure connections are provided through a Common.,text_extraction_agent,raw_text
The product provides the product provides Criteria or FIPS 140 certified hardware-based.,text_extraction_agent,raw_text
The product provides the product provides cryptographiccomputingmodule.,text_extraction_agent,raw_text
"The product provides the product provides Furthermore, signed video ensures that video evidence.",text_extraction_agent,raw_text
The product provides the product provides can be verified as untampered. Each camera uses its.,text_extraction_agent,raw_text
"The product provides the product provides unique video signing key, which is securely stored in the.",text_extraction_agent,raw_text
"The product provides the product provides secure keystore, to add a signature into the video stream.",text_extraction_agent,raw_text
The product provides the product provides allowingvideotobetracedbacktotheAxiscamerafrom.,text_extraction_agent,raw_text
The product provides the product provides whereitoriginated.,text_extraction_agent,raw_text
"The product provides the product provides To read more about Axis Edge Vault, go to axis.com/.",text_extraction_agent,raw_text
The product provides the product provides solutions/edge-vault.,text_extraction_agent,raw_text
The product provides the product provides Zipstream.,text_extraction_agent,raw_text
The product provides the product provides The Axis Zipstream technology preserves all the.,text_extraction_agent,raw_text
The product provides the product provides important forensic in the video stream while lowering.,text_extraction_agent,raw_text
The product provides the product provides bandwidth and storage requirements by an average of.,text_extraction_agent,raw_text
The product provides 50%. Zipstream also includes three intelligent.,text_extraction_agent,raw_text
"The product provides the product provides algorithms, which ensure that relevant forensic.",text_extraction_agent,raw_text
"The product provides the product provides information is identified, recorded, and sent in full.",text_extraction_agent,raw_text
The product provides the product provides resolutionandframerate.,text_extraction_agent,raw_text
The product provides the product provides ForensicWDR.,text_extraction_agent,raw_text
The product provides the product provides Axis cameras with wide dynamic range (WDR).,text_extraction_agent,raw_text
The product provides the product provides technology make the difference between seeing.,text_extraction_agent,raw_text
The product provides the product provides important forensic details clearly and seeing nothing but.,text_extraction_agent,raw_text
The product provides the product provides a blur in challenging light conditions. The difference.,text_extraction_agent,raw_text
The product provides the product provides between the darkest and the brightest spots can spell.,text_extraction_agent,raw_text
The product provides the product provides trouble for image usability and clarity. Forensic WDR.,text_extraction_agent,raw_text
The product provides the product provides effectively reduces visible noise and artifacts to deliver.,text_extraction_agent,raw_text
The product provides the product provides videotunedformaximalforensicusability.,text_extraction_agent,raw_text
The product provides the product provides Lightfinder.,text_extraction_agent,raw_text
"The product provides the product provides The Axis Lightfinder technology delivers high-resolution,.",text_extraction_agent,raw_text
The product provides the product provides full-color video with a minimum of motion blur even in.,text_extraction_agent,raw_text
"The product provides the product provides near darkness. Because it strips away noise, Lightfinder.",text_extraction_agent,raw_text
The product provides the product provides makes dark areas in a scene visible and captures details.,text_extraction_agent,raw_text
The product provides the product provides in very low light. Cameras with Lightfinder discern color.,text_extraction_agent,raw_text
"The product provides the product provides in low light better than the human eye. In surveillance,.",text_extraction_agent,raw_text
"The product provides the product provides ©2022–2025AxisCommunicationsAB.AXISCOMMUNICATIONS,AXIS,ARTPECandVAPIXareregisteredtrademarksof.",text_extraction_agent,raw_text
The product provides the product provides AxisABinvariousjurisdictions.Allothertrademarksarethepropertyoftheirrespectiveowners.Wereservetherightto.,text_extraction_agent,raw_text
The product provides the product provides introducemodificationswithoutnotice.,text_extraction_agent,raw_text
