feature_key,normalized_feature,capability_label,datasheet-axis-m3905-r-dome-camera-en-US-506723,normalized_feature_h6-xp-dome-camera-datasheet,capability_label_h6-xp-dome-camera-datasheet,h6-xp-dome-camera-datasheet,normalized_feature_video-security-cd22-datasheet,capability_label_video-security-cd22-datasheet,video-security-cd22-datasheet,representative_feature
1analyticscapabilitiesincludingdetectionrangemayvarybycameralinepleaseconsulttheavigilonselflearningvideoanalyticsdesignguidefor,,,missing,"the product provides the product provides 1analyticscapabilities,includingdetectionrange,mayvarybycameraline.pleaseconsulttheavigilonself-learningvideoanalyticsdesignguidefor.","The product provides the product provides 1Analyticscapabilities,includingdetectionrange,mayvarybycameraline.PleaseconsulttheAvigilonSelf-LearningVideoAnalyticsDesignGuidefor.",present,,,missing,"the product provides the product provides 1analyticscapabilities,includingdetectionrange,mayvarybycameraline.pleaseconsulttheavigilonself-learningvideoanalyticsdesignguidefor."
1maxframerateof60fpsisonlyachievablewithhighframeratemodeenabledhighframeratemodewilldisableanalytics,,,missing,the product provides the product provides 1maxframerateof60fpsisonlyachievablewithhighframeratemodeenabled.highframeratemodewilldisableanalytics.,The product provides the product provides 1MaxFrameRateof60fpsisonlyachievablewithHighFrameRatemodeenabled.HighFrameRatemodewilldisableanalytics.,present,,,missing,the product provides the product provides 1maxframerateof60fpsisonlyachievablewithhighframeratemodeenabled.highframeratemodewilldisableanalytics.
1separatelicenserequired,,,missing,the product provides the product provides 1separatelicenserequired.,The product provides the product provides 1Separatelicenserequired.,present,,,missing,the product provides the product provides 1separatelicenserequired.
20222025axiscommunicationsabaxiscommunicationsaxisartpecandvapixareregisteredtrademarksof,"the product provides the product provides ©2022–2025axiscommunicationsab.axiscommunications,axis,artpecandvapixareregisteredtrademarksof.","The product provides the product provides ©2022–2025AxisCommunicationsAB.AXISCOMMUNICATIONS,AXIS,ARTPECandVAPIXareregisteredtrademarksof.",present,,,missing,,,missing,"the product provides the product provides ©2022–2025axiscommunicationsab.axiscommunications,axis,artpecandvapixareregisteredtrademarksof."
20250908enrev2,,,missing,the product provides the product provides 20250908-enrev2.,The product provides the product provides 20250908-enRev2.,present,,,missing,the product provides the product provides 20250908-enrev2.
2025avigiloncorporationallrightsreservedmotorolamotomotorolasolutionsandthestylizedmlogoaretrademarksorregisteredtrademarksof,,,missing,"the product provides the product provides ©2025,avigiloncorporation.allrightsreserved.motorola,moto,motorolasolutionsandthestylizedmlogoaretrademarksorregisteredtrademarksof.","The product provides the product provides ©2025,AvigilonCorporation.Allrightsreserved.MOTOROLA,MOTO,MOTOROLASOLUTIONSandtheStylizedMLogoaretrademarksorregisteredtrademarksof.",present,,,missing,"the product provides the product provides ©2025,avigiloncorporation.allrightsreserved.motorola,moto,motorolasolutionsandthestylizedmlogoaretrademarksorregisteredtrademarksof."
241g053lb,the product provides the product provides 241g(0.53lb).,The product provides the product provides 241g(0.53lb).,present,,,missing,,,missing,the product provides the product provides 241g(0.53lb).
256bit,the product provides the product provides 256bit).,The product provides the product provides 256bit).,present,,,missing,,,missing,the product provides the product provides 256bit).
28mmf12,"the product provides the product provides 2.8mm,f1.2:.","The product provides the product provides 2.8mm,F1.2:.",present,,,missing,,,missing,"the product provides the product provides 2.8mm,f1.2:."
28mmlens_doridefinition_distance,the product provides the product provides 2.8mmlens doridefinition distance.,The product provides the product provides 2.8mmlens DORIdefinition Distance.,present,,,missing,,,missing,the product provides the product provides 2.8mmlens doridefinition distance.
2irilluminationpowermaybereducedathigheroperatingtemperatures,,,missing,the product provides the product provides 2irilluminationpowermaybereducedathigheroperatingtemperatures.,The product provides the product provides 2IRilluminationpowermaybereducedathigheroperatingtemperatures.,present,,,missing,the product provides the product provides 2irilluminationpowermaybereducedathigheroperatingtemperatures.
2thedetectionrangeislimitedtoupto8metersinloudenvironments,,,missing,the product provides the product provides 2thedetectionrangeislimitedtoupto8metersinloudenvironments.,The product provides the product provides 2Thedetectionrangeislimitedtoupto8metersinloudenvironments.,present,,,missing,the product provides the product provides 2thedetectionrangeislimitedtoupto8metersinloudenvironments.
368x264_x480512x384384x288368x264,,,missing,"the product provides the product provides 368x264 x480,512x384,384x288,368x264.","The product provides the product provides 368x264 x480,512x384,384x288,368x264.",present,,,missing,"the product provides the product provides 368x264 x480,512x384,384x288,368x264."
36mmf20,"the product provides the product provides 3.6mm,f2.0:.","The product provides the product provides 3.6mm,F2.0:.",present,,,missing,,,missing,"the product provides the product provides 3.6mm,f2.0:."
36mmf20_frame_rate,"the product provides the product provides 3.6mm,f2.0: frame rate.","The product provides the product provides 3.6mm,F2.0: Frame rate.",present,,,missing,,,missing,"the product provides the product provides 3.6mm,f2.0: frame rate."
36mmlens_doridefinition_distance,the product provides the product provides 3.6mmlens doridefinition distance.,The product provides the product provides 3.6mmlens DORIdefinition Distance.,present,,,missing,,,missing,the product provides the product provides 3.6mmlens doridefinition distance.
3757v_023015a_86w,,,missing,,,missing,"the product provides with ir: 37-57v, 0.23-0.15a, 8.6w.","The product provides with IR: 37-57V, 0.23-0.15A, 8.6W.",present,"the product provides with ir: 37-57v, 0.23-0.15a, 8.6w."
384x216_288384x216,,,missing,"the product provides the product provides 384x216 288,384x216.","The product provides the product provides 384x216 288,384x216.",present,,,missing,"the product provides the product provides 384x216 288,384x216."
3diffservftpsftpcifssmbsmtpmdnsbonjour_overlaytext,"the product provides the product provides 3diffserv,ftp,sftp,cifs/smb,smtp,mdns(bonjour), overlaytext.","The product provides the product provides 3DiffServ,FTP,SFTP,CIFS/SMB,SMTP,mDNS(Bonjour), Overlaytext.",present,,,missing,,,missing,"the product provides the product provides 3diffserv,ftp,sftp,cifs/smb,smtp,mdns(bonjour), overlaytext."
3mp_resolution_bandwidth_consumption_coverage_scale,,,missing,,,missing,the product provides • 3mp resolution bandwidth consumption and coverage at scale.,The product provides • 3MP resolution bandwidth consumption and coverage at scale.,present,the product provides • 3mp resolution bandwidth consumption and coverage at scale.
3testedmaximumcapacityis15tb,,,missing,the product provides the product provides 3testedmaximumcapacityis1.5tb.,The product provides the product provides 3Testedmaximumcapacityis1.5TB.,present,,,missing,the product provides the product provides 3testedmaximumcapacityis1.5tb.
3thedetectionrangeisinfluencedbythequalityandpowerofthedeviceusedtocreatethepanicalarm,,,missing,the product provides the product provides 3thedetectionrangeisinfluencedbythequalityandpowerofthedeviceusedtocreatethepanicalarm.,The product provides the product provides 3Thedetectionrangeisinfluencedbythequalityandpowerofthedeviceusedtocreatethepanicalarm.,present,,,missing,the product provides the product provides 3thedetectionrangeisinfluencedbythequalityandpowerofthedeviceusedtocreatethepanicalarm.
40ch6xpdo1irna,,,missing,the product provides the product provides 4.0c-h6xp-do1-ir-na 4.0 ✓ ✓ ✓ ✓ ✓ ✓.,The product provides the product provides 4.0C-H6XP-DO1-IR-NA 4.0 ✓ ✓ ✓ ✓ ✓ ✓.,present,,,missing,the product provides the product provides 4.0c-h6xp-do1-ir-na 4.0 ✓ ✓ ✓ ✓ ✓ ✓.
40ch6xpdo2irna,,,missing,the product provides the product provides 4.0c-h6xp-do2-ir-na 4.0 ✓ ✓ ✓ ✓ ✓ ✓.,The product provides the product provides 4.0C-H6XP-DO2-IR-NA 4.0 ✓ ✓ ✓ ✓ ✓ ✓.,present,,,missing,the product provides the product provides 4.0c-h6xp-do2-ir-na 4.0 ✓ ✓ ✓ ✓ ✓ ✓.
40mp_80mp4kultrahd,,,missing,the product provides the product provides 4.0mp 8.0mp(4kultrahd).,The product provides the product provides 4.0MP 8.0MP(4KULTRAHD).,present,,,missing,the product provides the product provides 4.0mp 8.0mp(4kultrahd).
411in,,,missing,,,missing,the product provides 4.11in.,The product provides 4.11in.,present,the product provides 4.11in.
431280x960800x600640x480512x384_431920x14401600x12001280x960800x600640,,,missing,"the product provides the product provides (4:3)1280x960,800x600,640x480,512x384, (4:3)1920x1440,1600x1200,1280x960,800x600,640.","The product provides the product provides (4:3)1280x960,800x600,640x480,512x384, (4:3)1920x1440,1600x1200,1280x960,800x600,640.",present,,,missing,"the product provides the product provides (4:3)1280x960,800x600,640x480,512x384, (4:3)1920x1440,1600x1200,1280x960,800x600,640."
431280x960to320x240,the product provides the product provides 4:3:1280x960to320x240.,The product provides the product provides 4:3:1280x960to320x240.,present,,,missing,,,missing,the product provides the product provides 4:3:1280x960to320x240.
431984x14881920x14401600x12001280_432880x21602560x19202304x17281920x1440,,,missing,"the product provides the product provides (4:3)1984x1488*,1920x1440,1600x1200,1280 (4:3)2880x2160*,2560x1920,2304x1728,1920x1440,.","The product provides the product provides (4:3)1984x1488*,1920x1440,1600x1200,1280 (4:3)2880x2160*,2560x1920,2304x1728,1920x1440,.",present,,,missing,"the product provides the product provides (4:3)1984x1488*,1920x1440,1600x1200,1280 (4:3)2880x2160*,2560x1920,2304x1728,1920x1440,."
432640x360512x288_768x432640x360512x288,,,missing,"the product provides the product provides 432,640x360,512x288 768x432,640x360,512x288.","The product provides the product provides 432,640x360,512x288 768x432,640x360,512x288.",present,,,missing,"the product provides the product provides 432,640x360,512x288 768x432,640x360,512x288."
433578_431131,,,missing,the product provides the product provides (4:3)35°–78° (4:3)11°–31°.,The product provides the product provides (4:3)35°–78° (4:3)11°–31°.,present,,,missing,the product provides the product provides (4:3)35°–78° (4:3)11°–31°.
4493,,,missing,the product provides the product provides 4.4-9.3 4.0 ✓ ✓ ✓ ✓ ✓ ✓ mm.,The product provides the product provides 4.4-9.3 4.0 ✓ ✓ ✓ ✓ ✓ ✓ mm.,present,,,missing,the product provides the product provides 4.4-9.3 4.0 ✓ ✓ ✓ ✓ ✓ ✓ mm.
4493mm_10929mm,,,missing,the product provides the product provides 4.4-9.3mm 10.9-29mm.,The product provides the product provides 4.4-9.3MM 10.9-29MM.,present,,,missing,the product provides the product provides 4.4-9.3mm 10.9-29mm.
4mp,,,missing,the product provides the product provides 4mp.,The product provides the product provides 4MP.,present,,,missing,the product provides the product provides 4mp.
4mp8,,,missing,the product provides the product provides 4mp&8 mp.,The product provides the product provides 4MP&8 MP.,present,,,missing,the product provides the product provides 4mp&8 mp.
4mp_8mp,,,missing,the product provides the product provides 4mp 8mp.,The product provides the product provides 4MP 8MP.,present,,,missing,the product provides the product provides 4mp 8mp.
4onlyappliestotheinceilingcameramodels,,,missing,the product provides the product provides 4onlyappliestothein-ceilingcameramodels.,The product provides the product provides 4Onlyappliestothein-ceilingcameramodels.,present,,,missing,the product provides the product provides 4onlyappliestothein-ceilingcameramodels.
5yearwarrantyseeaxiscomwarranty,"the product provides the product provides 5-yearwarranty,seeaxis.com/warranty.","The product provides the product provides 5-yearwarranty,seeaxis.com/warranty.",present,,,missing,,,missing,"the product provides the product provides 5-yearwarranty,seeaxis.com/warranty."
608g_2145oz,,,missing,,,missing,the product provides camera: 608g / 21.45oz.,The product provides camera: 608g / 21.45oz.,present,the product provides camera: 608g / 21.45oz.
623681_ik08_impact_rating_fy2019_screw,,,missing,,,missing,"the product provides 62368-1, ik08 impact rating, fy2019 screw pack, mounting template.","The product provides 62368-1, IK08 impact rating, FY2019 screw pack, mounting template.",present,"the product provides 62368-1, ik08 impact rating, fy2019 screw pack, mounting template."
80ch6xpdo1irna,,,missing,the product provides the product provides 8.0c-h6xp-do1-ir-na 8.0 ✓ ✓ ✓ ✓ ✓ ✓.,The product provides the product provides 8.0C-H6XP-DO1-IR-NA 8.0 ✓ ✓ ✓ ✓ ✓ ✓.,present,,,missing,the product provides the product provides 8.0c-h6xp-do1-ir-na 8.0 ✓ ✓ ✓ ✓ ✓ ✓.
80ch6xpdo2irna,,,missing,the product provides the product provides 8.0c-h6xp-do2-ir-na 8.0 ✓ ✓ ✓ ✓ ✓ ✓.,The product provides the product provides 8.0C-H6XP-DO2-IR-NA 8.0 ✓ ✓ ✓ ✓ ✓ ✓.,present,,,missing,the product provides the product provides 8.0c-h6xp-do2-ir-na 8.0 ✓ ✓ ✓ ✓ ✓ ✓.
88horizontalfieldofview,the product provides the product provides > 88°horizontalfieldofview.,The product provides the product provides > 88°Horizontalfieldofview.,present,,,missing,,,missing,the product provides the product provides > 88°horizontalfieldofview.
8mp,,,missing,the product provides the product provides 8mp.,The product provides the product provides 8MP.,present,,,missing,the product provides the product provides 8mp.
8mp_16947109_1691542,,,missing,the product provides the product provides 8mp (16:9)47°–109° (16:9)15°–42°.,The product provides the product provides 8MP (16:9)47°–109° (16:9)15°–42°.,present,,,missing,the product provides the product provides 8mp (16:9)47°–109° (16:9)15°–42°.
8mp_withir0luxinmonochromemode,,,missing,the product provides the product provides 8mp withir:0luxinmonochromemode withir:0luxinmonochromemode.,The product provides the product provides 8MP WithIR:0luxinmonochromemode WithIR:0luxinmonochromemode.,present,,,missing,the product provides the product provides 8mp withir:0luxinmonochromemode withir:0luxinmonochromemode.
90180270includingcorridorformatdynamic,"the product provides the product provides 90°,180°,270°includingcorridorformat,dynamic.","The product provides the product provides 90°,180°,270°includingCorridorFormat,dynamic.",present,,,missing,,,missing,"the product provides the product provides 90°,180°,270°includingcorridorformat,dynamic."
absolutemaximum_74c165fpernemats2temppara22722277,,,missing,the product provides the product provides absolutemaximum 74°c(165°f)pernemats2(temp.)para2.2.7.2-2.2.7.7.,The product provides the product provides AbsoluteMaximum 74°C(165°F)perNEMATS2(Temp.)para2.2.7.2-2.2.7.7.,present,,,missing,the product provides the product provides absolutemaximum 74°c(165°f)pernemats2(temp.)para2.2.7.2-2.2.7.7.
ac136naavo_zwavepanicbutton,,,missing,the product provides the product provides ac136-na-avo z-wavepanicbutton.,The product provides the product provides AC136-NA-AVO Z-Wavepanicbutton.,present,,,missing,the product provides the product provides ac136-na-avo z-wavepanicbutton.
acap,the product provides the product provides acap.,The product provides the product provides acap.,present,,,missing,,,missing,the product provides the product provides acap.
acccamshield1_weather_shield,,,missing,,,missing,the product provides acc-cam-shield-1 camera weather shield $79.,The product provides aCC-CAM-SHIELD-1 Camera Weather Shield $79.,present,the product provides acc-cam-shield-1 camera weather shield $79.
access_control_keys_etc_against_malicious,the product provides the product provides access control keys etc.) against malicious extraction in.,The product provides the product provides access control keys etc.) against malicious extraction in.,present,,,missing,,,missing,the product provides the product provides access control keys etc.) against malicious extraction in.
accessories_pricing,,,missing,,,missing,the product provides accessories pricing.,The product provides accessories pricing.,present,the product provides accessories pricing.
accessoryonlydimensions_219mmx115mm862x452_155mmx65mm61x255,,,missing,"the product provides the product provides accessoryonlydimensions n/a 219mmx115mm;8.62""x4.52"" 155mmx65mm;6.1""x2.55"".","The product provides the product provides AccessoryOnlyDimensions N/A 219mmx115mm;8.62""x4.52"" 155mmx65mm;6.1""x2.55"".",present,,,missing,"the product provides the product provides accessoryonlydimensions n/a 219mmx115mm;8.62""x4.52"" 155mmx65mm;6.1""x2.55""."
accmntangle1_angle_mount_149,,,missing,,,missing,the product provides acc-mnt-angle-1 angle mount $149.,The product provides aCC-MNT-ANGLE-1 Angle Mount $149.,present,the product provides acc-mnt-angle-1 angle mount $149.
accmntarm1_arm_mount,,,missing,,,missing,the product provides acc-mnt-arm-1 arm mount $99.,The product provides aCC-MNT-ARM-1 Arm Mount $99.,present,the product provides acc-mnt-arm-1 arm mount $99.
accmntcjbox1_circle_junction_box_mount_109,,,missing,,,missing,the product provides acc-mnt-cjbox-1 circle junction box mount $109.,The product provides aCC-MNT-CJBOX-1 Circle Junction Box Mount $109.,present,the product provides acc-mnt-cjbox-1 circle junction box mount $109.
accmntclip1_tile_clip_mount,,,missing,,,missing,the product provides acc-mnt-clip-1 tile clip mount $99.,The product provides aCC-MNT-CLIP-1 Tile Clip Mount $99.,present,the product provides acc-mnt-clip-1 tile clip mount $99.
accmntcorner1_corner_mount_199,,,missing,,,missing,the product provides acc-mnt-corner-1 corner mount $199.,The product provides aCC-MNT-CORNER-1 Corner Mount $199.,present,the product provides acc-mnt-corner-1 corner mount $199.
accmntlbrac1_lbracket_mount_129,,,missing,,,missing,the product provides acc-mnt-lbrac-1 l-bracket mount $129.,The product provides aCC-MNT-LBRAC-1 L-Bracket Mount $129.,present,the product provides acc-mnt-lbrac-1 l-bracket mount $129.
accmntpend1_pendant_cap_mount,,,missing,,,missing,the product provides acc-mnt-pend-1 pendant cap mount $69.,The product provides aCC-MNT-PEND-1 Pendant Cap Mount $69.,present,the product provides acc-mnt-pend-1 pendant cap mount $69.
accmntpole1_pole_mount_209,,,missing,,,missing,the product provides acc-mnt-pole-1 pole mount $209.,The product provides aCC-MNT-POLE-1 Pole Mount $209.,present,the product provides acc-mnt-pole-1 pole mount $209.
accmntrec2_recess_ceiling_mount_149,,,missing,,,missing,the product provides acc-mnt-rec-2 recess ceiling mount $149.,The product provides aCC-MNT-REC-2 Recess Ceiling Mount $149.,present,the product provides acc-mnt-rec-2 recess ceiling mount $149.
accversion72orhigher_allsupportedanalyticeventswithpeopleandvehiclesasclassifiedobjectsappearancesearchwhenpairedwith,,,missing,the product provides the product provides accversion7.2orhigher allsupportedanalyticeventswithpeopleandvehiclesasclassifiedobjects.appearancesearchwhenpairedwith.,The product provides the product provides ACCVersion7.2orhigher Allsupportedanalyticeventswithpeopleandvehiclesasclassifiedobjects.Appearancesearchwhenpairedwith.,present,,,missing,the product provides the product provides accversion7.2orhigher allsupportedanalyticeventswithpeopleandvehiclesasclassifiedobjects.appearancesearchwhenpairedwith.
additional_hardware,,,missing,,,missing,the product provides additional hardware.,The product provides additional hardware.,present,the product provides additional hardware.
addressstoragefailuresystemreadywithinoperating,"the product provides the product provides address,storagefailure,systemready,withinoperating.","The product provides the product provides address,storagefailure,systemready,withinoperating.",present,,,missing,,,missing,"the product provides the product provides address,storagefailure,systemready,withinoperating."
adjustment,the product provides the product provides camera adjustment.,The product provides the product provides Camera adjustment.,present,,,missing,,,missing,the product provides the product provides camera adjustment.
adjustmentrange_pan360azimuth349tilt92,,,missing,"the product provides the product provides adjustmentrange pan360°,azimuth349°,tilt92°.","The product provides the product provides AdjustmentRange Pan360°,Azimuth349°,Tilt92°.",present,,,missing,"the product provides the product provides adjustmentrange pan360°,azimuth349°,tilt92°."
alerts_streaming_storage_selectable_location,,,missing,,,missing,"the product provides alerts streaming and storage selectable storage location, low bandwidth.","The product provides alerts Streaming and Storage selectable storage location, low bandwidth.",present,"the product provides alerts streaming and storage selectable storage location, low bandwidth."
algorithms_which_ensure_relevant_forensic,"the product provides the product provides algorithms, which ensure that relevant forensic.","The product provides the product provides algorithms, which ensure that relevant forensic.",present,,,missing,,,missing,"the product provides the product provides algorithms, which ensure that relevant forensic."
all_our_cameras_record_adaptive_quality,,,missing,,,missing,"the product provides 1. all our cameras record in ""adaptive quality,"" capturing both standard (sq) and high quality (hq) streams. sq video is stored up to the amount of retention specifi ed by.","The product provides 1. All our cameras record in ""adaptive quality,"" capturing both standard (SQ) and high quality (HQ) streams. SQ video is stored up to the amount of retention specifi ed by.",present,"the product provides 1. all our cameras record in ""adaptive quality,"" capturing both standard (sq) and high quality (hq) streams. sq video is stored up to the amount of retention specifi ed by."
allconnectorssupportpoe,the product provides the product provides allconnectorssupportpoe.,The product provides the product provides AllconnectorssupportPoE.,present,,,missing,,,missing,the product provides the product provides allconnectorssupportpoe.
allowingvideotobetracedbacktotheaxiscamerafrom,the product provides the product provides allowingvideotobetracedbacktotheaxiscamerafrom.,The product provides the product provides allowingvideotobetracedbacktotheAxiscamerafrom.,present,,,missing,,,missing,the product provides the product provides allowingvideotobetracedbacktotheaxiscamerafrom.
also_keeping_aesthetics_topofmind_installation_simple,,,missing,,,missing,"the product provides also keeping aesthetics top-of-mind. installation is simple and intuitive, and setup is easy to track with an led status.","The product provides also keeping aesthetics top-of-mind. Installation is simple and intuitive, and setup is easy to track with an LED status.",present,"the product provides also keeping aesthetics top-of-mind. installation is simple and intuitive, and setup is easy to track with an led status."
amountoftime,,,missing,the product provides the product provides amountoftime.,The product provides the product provides amountoftime.,present,,,missing,the product provides the product provides amountoftime.
analytics_specifications,,,missing,the product provides the product provides analytics specifications.,The product provides the product provides Analytics Specifications.,present,,,missing,the product provides the product provides analytics specifications.
andaxiscameraapplicationplatformacap,the product provides the product provides andaxiscameraapplicationplatform(acap);.,The product provides the product provides andAXISCameraApplicationPlatform(ACAP);.,present,,,missing,,,missing,the product provides the product provides andaxiscameraapplicationplatform(acap);.
andencryptedfirmware,,,missing,the product provides the product provides andencryptedfirmware.,The product provides the product provides andencryptedfirmware.,present,,,missing,the product provides the product provides andencryptedfirmware.
andintegratewithexistingsystemsexpandthecameras_crowdsorpeoplecrawlingnearyourperimeterclassifymore,,,missing,the product provides the product provides andintegratewithexistingsystems.expandthecamera's crowdsorpeoplecrawlingnearyourperimeter.classifymore.,The product provides the product provides andintegratewithexistingsystems.Expandthecamera's crowdsorpeoplecrawlingnearyourperimeter.Classifymore.,present,,,missing,the product provides the product provides andintegratewithexistingsystems.expandthecamera's crowdsorpeoplecrawlingnearyourperimeter.classifymore.
andonvifprofiletspecificationatonviforg_axisvideomotiondetectionactivetamperingalarm3,"the product provides the product provides andonvif®profilet,specificationatonvif.org axisvideomotiondetection,activetamperingalarm3.","The product provides the product provides andONVIF®ProfileT,specificationatonvif.org AXISVideoMotionDetection,activetamperingalarm3.",present,,,missing,,,missing,"the product provides the product provides andonvif®profilet,specificationatonvif.org axisvideomotiondetection,activetamperingalarm3."
aperture_f16_minimum_illumination,,,missing,,,missing,the product provides aperture f1.6 minimum illumination.,The product provides aperture F1.6 Minimum Illumination.,present,the product provides aperture f1.6 minimum illumination.
applicationprogramming_interface,the product provides the product provides applicationprogramming interface.,The product provides the product provides ApplicationProgramming Interface.,present,,,missing,,,missing,the product provides the product provides applicationprogramming interface.
appropriateserverhardwareunusualactivitydetectionh265supported,,,missing,the product provides the product provides appropriateserverhardware.unusualactivitydetection.h.265supported.,The product provides the product provides appropriateserverhardware.UnusualActivityDetection.H.265supported.,present,,,missing,the product provides the product provides appropriateserverhardware.unusualactivitydetection.h.265supported.
approvals,the product provides the product provides approvals.,The product provides the product provides Approvals.,present,,,missing,,,missing,the product provides the product provides approvals.
archiving_footage,,,missing,,,missing,the product provides archiving of footage.,The product provides archiving of footage.,present,the product provides archiving of footage.
area,,,missing,the product provides the product provides area.,The product provides the product provides Area.,present,,,missing,the product provides the product provides area.
aspectratio,,,missing,the product provides the product provides aspectratio.,The product provides the product provides AspectRatio.,present,,,missing,the product provides the product provides aspectratio.
audio_not_supported,,,missing,,,missing,the product provides audio not supported.,The product provides audio Not Supported.,present,the product provides audio not supported.
audio_support,,,missing,,,missing,the product provides audio support: no.,The product provides audio support: No.,present,the product provides audio support: no.
audioanalyticsrecording_dynamicprivacymasking,,,missing,the product provides the product provides audioanalytics&recording dynamicprivacymasking.,The product provides the product provides Audioanalytics&recording Dynamicprivacymasking.,present,,,missing,the product provides the product provides audioanalytics&recording dynamicprivacymasking.
audiocompressionmethod_g711pcm8khzopus,,,missing,"the product provides the product provides audiocompressionmethod g.711pcm8khz,opus.","The product provides the product provides AudioCompressionMethod G.711PCM8kHz,Opus.",present,,,missing,"the product provides the product provides audiocompressionmethod g.711pcm8khz,opus."
audioinputoutput_linelevelinputandoutput,,,missing,the product provides the product provides audioinput/output linelevelinputandoutput.,The product provides the product provides AudioInput/Output Linelevelinputandoutput.,present,,,missing,the product provides the product provides audioinput/output linelevelinputandoutput.
audit_log,,,missing,,,missing,the product provides audit log.,The product provides audit log.,present,the product provides audit log.
authenticationfips1402l1withoptionalcameralicenseonboardfips1402l3certifiedtpmsecurebootsigned,,,missing,"the product provides the product provides authentication,fips140-2l1(withoptionalcameralicense),onboardfips140-2l3certifiedtpm,secureboot,signed.","The product provides the product provides authentication,FIPS140-2L1(withoptionalcameralicense),onboardFIPS140-2L3certifiedTPM,SecureBoot,Signed.",present,,,missing,"the product provides the product provides authentication,fips140-2l1(withoptionalcameralicense),onboardfips140-2l3certifiedtpm,secureboot,signed."
auxiliaryio,,,missing,the product provides the product provides auxiliaryi/o.,The product provides the product provides AUXILIARYI/O.,present,,,missing,the product provides the product provides auxiliaryi/o.
availableataxiscom,the product provides the product provides availableataxis.com.,The product provides the product provides Availableataxis.com.,present,,,missing,,,missing,the product provides the product provides availableataxis.com.
availableataxiscomproductsaxism3905rpart,the product provides the product provides availableataxis.com/products/axis-m3905-r#part-.,The product provides the product provides Availableataxis.com/products/axis-m3905-r#part-.,present,,,missing,,,missing,the product provides the product provides availableataxis.com/products/axis-m3905-r#part-.
availableataxiscomvms,the product provides the product provides availableataxis.com/vms.,The product provides the product provides availableataxis.com/vms.,present,,,missing,,,missing,the product provides the product provides availableataxis.com/vms.
