capability_label,feature,source_strategy,source_kind,normalized_feature,feature_key
The product provides the product provides makingthecameramorepowerfulandreducingownershipcosts.,The product provides the product provides makingthecameramorepowerfulandreducingownershipcosts.,text_extraction_agent,raw_text,the product provides the product provides makingthecameramorepowerfulandreducingownershipcosts.,makingthecameramorepowerfulandreducingownershipcosts
The product provides the product provides Z-Wavecompatible AI-poweredvideoanalytics.,The product provides the product provides Z-Wavecompatible AI-poweredvideoanalytics.,text_extraction_agent,raw_text,the product provides the product provides z-wavecompatible ai-poweredvideoanalytics.,zwavecompatible_aipoweredvideoanalytics
The product provides the product provides ConnectwithZ-Wavecompatibledevicestoenhancecontrol Beproactivewithadvancedanalyticsthatdetectunusual.,The product provides the product provides ConnectwithZ-Wavecompatibledevicestoenhancecontrol Beproactivewithadvancedanalyticsthatdetectunusual.,text_extraction_agent,raw_text,the product provides the product provides connectwithz-wavecompatibledevicestoenhancecontrol beproactivewithadvancedanalyticsthatdetectunusual.,connectwithzwavecompatibledevicestoenhancecontrol_beproactivewithadvancedanalyticsthatdetectunusual
The product provides the product provides andintegratewithexistingsystems.Expandthecamera's crowdsorpeoplecrawlingnearyourperimeter.Classifymore.,The product provides the product provides andintegratewithexistingsystems.Expandthecamera's crowdsorpeoplecrawlingnearyourperimeter.Classifymore.,text_extraction_agent,raw_text,the product provides the product provides andintegratewithexistingsystems.expandthecamera's crowdsorpeoplecrawlingnearyourperimeter.classifymore.,andintegratewithexistingsystemsexpandthecameras_crowdsorpeoplecrawlingnearyourperimeterclassifymore
"The product provides the product provides intelligencetocovermultipleusecases,allwhilereducing objectswitheventsupport,includingvansandvarioustrucks.","The product provides the product provides intelligencetocovermultipleusecases,allwhilereducing objectswitheventsupport,includingvansandvarioustrucks.",text_extraction_agent,raw_text,"the product provides the product provides intelligencetocovermultipleusecases,allwhilereducing objectswitheventsupport,includingvansandvarioustrucks.",intelligencetocovermultipleusecasesallwhilereducing_objectswitheventsupportincludingvansandvarioustrucks
The product provides the product provides costs.,The product provides the product provides costs.,text_extraction_agent,raw_text,the product provides the product provides costs.,costs
The product provides the product provides Audioanalytics&recording Dynamicprivacymasking.,The product provides the product provides Audioanalytics&recording Dynamicprivacymasking.,text_extraction_agent,raw_text,the product provides the product provides audioanalytics&recording dynamicprivacymasking.,audioanalyticsrecording_dynamicprivacymasking
"The product provides the product provides Stayalertwithreal-timenotificationsforgunshots1,breaking Preservepeople’sprivacybytrackingandblurringpeopleand.","The product provides the product provides Stayalertwithreal-timenotificationsforgunshots1,breaking Preservepeople’sprivacybytrackingandblurringpeopleand.",text_extraction_agent,raw_text,"the product provides the product provides stayalertwithreal-timenotificationsforgunshots1,breaking preservepeople’sprivacybytrackingandblurringpeopleand.",stayalertwithrealtimenotificationsforgunshots1breaking_preservepeoplesprivacybytrackingandblurringpeopleand
"The product provides the product provides glass,screamingandmore.Quicklyreviewvideofromthe vehiclesappearingoncamera,withtheflexibilityfor.","The product provides the product provides glass,screamingandmore.Quicklyreviewvideofromthe vehiclesappearingoncamera,withtheflexibilityfor.",text_extraction_agent,raw_text,"the product provides the product provides glass,screamingandmore.quicklyreviewvideofromthe vehiclesappearingoncamera,withtheflexibilityfor.",glassscreamingandmorequicklyreviewvideofromthe_vehiclesappearingoncamerawiththeflexibilityfor
The product provides the product provides triggeringcameraandchoosetorecordaudioasneeded. authorizedpersonneltoliftitduringinvestigations.,The product provides the product provides triggeringcameraandchoosetorecordaudioasneeded. authorizedpersonneltoliftitduringinvestigations.,text_extraction_agent,raw_text,the product provides the product provides triggeringcameraandchoosetorecordaudioasneeded. authorizedpersonneltoliftitduringinvestigations.,triggeringcameraandchoosetorecordaudioasneeded_authorizedpersonneltoliftitduringinvestigations
The product provides the product provides Low-lightclarity.,The product provides the product provides Low-lightclarity.,text_extraction_agent,raw_text,the product provides the product provides low-lightclarity.,lowlightclarity
The product provides the product provides Secure&Compliant.,The product provides the product provides Secure&Compliant.,text_extraction_agent,raw_text,the product provides the product provides secure&compliant.,securecompliant
The product provides the product provides CaptureclearimagesevenintotaldarknesswithourIR.,The product provides the product provides CaptureclearimagesevenintotaldarknesswithourIR.,text_extraction_agent,raw_text,the product provides the product provides captureclearimagesevenintotaldarknesswithourir.,captureclearimagesevenintotaldarknesswithourir
The product provides the product provides Trustthatyourdataiswell-protectedwithadvanced.,The product provides the product provides Trustthatyourdataiswell-protectedwithadvanced.,text_extraction_agent,raw_text,the product provides the product provides trustthatyourdataiswell-protectedwithadvanced.,trustthatyourdataiswellprotectedwithadvanced
"The product provides the product provides cameras.Bothcameraformsofferlow-lightvisibility,.","The product provides the product provides cameras.Bothcameraformsofferlow-lightvisibility,.",text_extraction_agent,raw_text,"the product provides the product provides cameras.bothcameraformsofferlow-lightvisibility,.",camerasbothcameraformsofferlowlightvisibility
The product provides the product provides cybersecurityfeaturessuchasanonboardFIPS140-2level3.,The product provides the product provides cybersecurityfeaturessuchasanonboardFIPS140-2level3.,text_extraction_agent,raw_text,the product provides the product provides cybersecurityfeaturessuchasanonboardfips140-2level3.,cybersecurityfeaturessuchasanonboardfips1402level3
The product provides the product provides minimizingmaintenancewhileensuringconsistent.,The product provides the product provides minimizingmaintenancewhileensuringconsistent.,text_extraction_agent,raw_text,the product provides the product provides minimizingmaintenancewhileensuringconsistent.,minimizingmaintenancewhileensuringconsistent
The product provides the product provides compliantTPMandSecureBoot.,The product provides the product provides compliantTPMandSecureBoot.,text_extraction_agent,raw_text,the product provides the product provides complianttpmandsecureboot.,complianttpmandsecureboot
The product provides the product provides performanceinallconditions.,The product provides the product provides performanceinallconditions.,text_extraction_agent,raw_text,the product provides the product provides performanceinallconditions.,performanceinallconditions
The product provides the product provides 1Separatelicenserequired.,The product provides the product provides 1Separatelicenserequired.,text_extraction_agent,raw_text,the product provides the product provides 1separatelicenserequired.,1separatelicenserequired
"The product provides the product provides Formoreinformation,visithttps://www.avigilon.com/security-cameras/h6a-domeor.","The product provides the product provides Formoreinformation,visithttps://www.avigilon.com/security-cameras/h6a-domeor.",text_extraction_agent,raw_text,"the product provides the product provides formoreinformation,visithttps://www.avigilon.com/security-cameras/h6a-domeor.",formoreinformationvisithttpswwwavigiloncomsecuritycamerash6adomeor
The product provides the product provides https://www.avigilon.com/security-cameras/h6x-dome.,The product provides the product provides https://www.avigilon.com/security-cameras/h6x-dome.,text_extraction_agent,raw_text,the product provides the product provides https://www.avigilon.com/security-cameras/h6x-dome.,httpswwwavigiloncomsecuritycamerash6xdome
The product provides the product provides Specifications.,The product provides the product provides Specifications.,text_extraction_agent,raw_text,the product provides the product provides specifications.,specifications
The product provides the product provides IMAGEPERFORMANCE 4.0MP 8.0MP(4KULTRAHD).,The product provides the product provides IMAGEPERFORMANCE 4.0MP 8.0MP(4KULTRAHD).,text_extraction_agent,raw_text,the product provides the product provides imageperformance 4.0mp 8.0mp(4kultrahd).,imageperformance_40mp_80mp4kultrahd
The product provides the product provides ImageSensor 1/1.8”progressivescanCMOS.,The product provides the product provides ImageSensor 1/1.8”progressivescanCMOS.,text_extraction_agent,raw_text,the product provides the product provides imagesensor 1/1.8”progressivescancmos.,imagesensor_118progressivescancmos
"The product provides the product provides MaxResolution Primary (16:9)2688x1520,2560x1440,1920x1080 (16:9)3840x2160,3328x1872,3200x1800,3072x1728.","The product provides the product provides MaxResolution Primary (16:9)2688x1520,2560x1440,1920x1080 (16:9)3840x2160,3328x1872,3200x1800,3072x1728.",text_extraction_agent,raw_text,"the product provides the product provides maxresolution primary (16:9)2688x1520,2560x1440,1920x1080 (16:9)3840x2160,3328x1872,3200x1800,3072x1728.",maxresolution_primary_1692688x15202560x14401920x1080_1693840x21603328x18723200x18003072x1728
"The product provides the product provides (HxV)and (4:3)1984x1488 (4:3)2880x2160,2560x1920.","The product provides the product provides (HxV)and (4:3)1984x1488 (4:3)2880x2160,2560x1920.",text_extraction_agent,raw_text,"the product provides the product provides (hxv)and (4:3)1984x1488 (4:3)2880x2160,2560x1920.",hxvand_431984x1488_432880x21602560x1920
The product provides the product provides AspectRatio.,The product provides the product provides AspectRatio.,text_extraction_agent,raw_text,the product provides the product provides aspectratio.,aspectratio
"The product provides the product provides Secondary (16:9)2688x1520*,1920x1080,1280x720,768x (16:9)3840x2160*,2560x1440,1920x1080,1280x720,.","The product provides the product provides Secondary (16:9)2688x1520*,1920x1080,1280x720,768x (16:9)3840x2160*,2560x1440,1920x1080,1280x720,.",text_extraction_agent,raw_text,"the product provides the product provides secondary (16:9)2688x1520*,1920x1080,1280x720,768x (16:9)3840x2160*,2560x1440,1920x1080,1280x720,.",secondary_1692688x15201920x10801280x720768x_1693840x21602560x14401920x10801280x720
"The product provides the product provides 432,640x360,512x288 768x432,640x360,512x288.","The product provides the product provides 432,640x360,512x288 768x432,640x360,512x288.",text_extraction_agent,raw_text,"the product provides the product provides 432,640x360,512x288 768x432,640x360,512x288.",432640x360512x288_768x432640x360512x288
"The product provides the product provides (4:3)1984x1488*,1920x1440,1600x1200,1280 (4:3)2880x2160*,2560x1920,2304x1728,1920x1440,.","The product provides the product provides (4:3)1984x1488*,1920x1440,1600x1200,1280 (4:3)2880x2160*,2560x1920,2304x1728,1920x1440,.",text_extraction_agent,raw_text,"the product provides the product provides (4:3)1984x1488*,1920x1440,1600x1200,1280 (4:3)2880x2160*,2560x1920,2304x1728,1920x1440,.",431984x14881920x14401600x12001280_432880x21602560x19202304x17281920x1440
"The product provides the product provides x960,768x576,640x480,512x384,384x288; 1600x1200,1280x960,768x576,640x480,512x384.","The product provides the product provides x960,768x576,640x480,512x384,384x288; 1600x1200,1280x960,768x576,640x480,512x384.",text_extraction_agent,raw_text,"the product provides the product provides x960,768x576,640x480,512x384,384x288; 1600x1200,1280x960,768x576,640x480,512x384.",x960768x576640x480512x384384x288_1600x12001280x960768x576640x480512x384
"The product provides the product provides Tertiary (16:9)1280x720,768x432,640x360,512x288, (16:9)1920x10801280x720,768x432,640x360,512x.","The product provides the product provides Tertiary (16:9)1280x720,768x432,640x360,512x288, (16:9)1920x10801280x720,768x432,640x360,512x.",text_extraction_agent,raw_text,"the product provides the product provides tertiary (16:9)1280x720,768x432,640x360,512x288, (16:9)1920x10801280x720,768x432,640x360,512x.",tertiary_1691280x720768x432640x360512x288_1691920x10801280x720768x432640x360512x
"The product provides the product provides 384x216 288,384x216.","The product provides the product provides 384x216 288,384x216.",text_extraction_agent,raw_text,"the product provides the product provides 384x216 288,384x216.",384x216_288384x216
"The product provides the product provides (4:3)1280x960,800x600,640x480,512x384, (4:3)1920x1440,1600x1200,1280x960,800x600,640.","The product provides the product provides (4:3)1280x960,800x600,640x480,512x384, (4:3)1920x1440,1600x1200,1280x960,800x600,640.",text_extraction_agent,raw_text,"the product provides the product provides (4:3)1280x960,800x600,640x480,512x384, (4:3)1920x1440,1600x1200,1280x960,800x600,640.",431280x960800x600640x480512x384_431920x14401600x12001280x960800x600640
"The product provides the product provides 368x264 x480,512x384,384x288,368x264.","The product provides the product provides 368x264 x480,512x384,384x288,368x264.",text_extraction_agent,raw_text,"the product provides the product provides 368x264 x480,512x384,384x288,368x264.",368x264_x480512x384384x288368x264
The product provides the product provides DynamicRange WDROff Upto83dB.,The product provides the product provides DynamicRange WDROff Upto83dB.,text_extraction_agent,raw_text,the product provides the product provides dynamicrange wdroff upto83db.,dynamicrange_wdroff_upto83db
"The product provides the product provides WDROn Upto106dB(dualexposure,30fps)Upto136dB Upto130dB(dualexposure,30fps).","The product provides the product provides WDROn Upto106dB(dualexposure,30fps)Upto136dB Upto130dB(dualexposure,30fps).",text_extraction_agent,raw_text,"the product provides the product provides wdron upto106db(dualexposure,30fps)upto136db upto130db(dualexposure,30fps).",wdron_upto106dbdualexposure30fpsupto136db_upto130dbdualexposure30fps
"The product provides the product provides (IEC62676) (tripleexposure,20fpsorless).","The product provides the product provides (IEC62676) (tripleexposure,20fpsorless).",text_extraction_agent,raw_text,"the product provides the product provides (iec62676) (tripleexposure,20fpsorless).",iec62676_tripleexposure20fpsorless
"The product provides the product provides WDROn Upto120dB(dualexposure,30fps)Upto144dB Upto144dB(dualexposure,20fpsorless).","The product provides the product provides WDROn Upto120dB(dualexposure,30fps)Upto144dB Upto144dB(dualexposure,20fpsorless).",text_extraction_agent,raw_text,"the product provides the product provides wdron upto120db(dualexposure,30fps)upto144db upto144db(dualexposure,20fpsorless).",wdron_upto120dbdualexposure30fpsupto144db_upto144dbdualexposure20fpsorless
"The product provides the product provides (tripleexposure,20fpsorless).","The product provides the product provides (tripleexposure,20fpsorless).",text_extraction_agent,raw_text,"the product provides the product provides (tripleexposure,20fpsorless).",tripleexposure20fpsorless
The product provides the product provides MaxImageRate (50Hz/60Hz):50fps/60fpsinHighFrameRate (50Hz/60Hz):25fps/30fps.,The product provides the product provides MaxImageRate (50Hz/60Hz):50fps/60fpsinHighFrameRate (50Hz/60Hz):25fps/30fps.,text_extraction_agent,raw_text,the product provides the product provides maximagerate (50hz/60hz):50fps/60fpsinhighframerate (50hz/60hz):25fps/30fps.,maximagerate_50hz60hz50fps60fpsinhighframerate_50hz60hz25fps30fps
"The product provides the product provides Mode1,otherwise25fps/30fps.","The product provides the product provides Mode1,otherwise25fps/30fps.",text_extraction_agent,raw_text,"the product provides the product provides mode1,otherwise25fps/30fps.",mode1otherwise25fps30fps
The product provides the product provides BandwidthManagement HDSMSmartCodectechnology;Idlescenemode.,The product provides the product provides BandwidthManagement HDSMSmartCodectechnology;Idlescenemode.,text_extraction_agent,raw_text,the product provides the product provides bandwidthmanagement hdsmsmartcodectechnology;idlescenemode.,bandwidthmanagement_hdsmsmartcodectechnologyidlescenemode
The product provides the product provides Signal-to-NoiseRatio(SNR) >50d.,The product provides the product provides Signal-to-NoiseRatio(SNR) >50d.,text_extraction_agent,raw_text,the product provides the product provides signal-to-noiseratio(snr) >50d.,signaltonoiseratiosnr_50d
The product provides the product provides *Onlyavailableathalfframerateoftheprimarystream.,The product provides the product provides *Onlyavailableathalfframerateoftheprimarystream.,text_extraction_agent,raw_text,the product provides the product provides *onlyavailableathalfframerateoftheprimarystream.,onlyavailableathalfframerateoftheprimarystream
The product provides the product provides 1MaxFrameRateof60fpsisonlyachievablewithHighFrameRatemodeenabled.HighFrameRatemodewilldisableanalytics.,The product provides the product provides 1MaxFrameRateof60fpsisonlyachievablewithHighFrameRatemodeenabled.HighFrameRatemodewilldisableanalytics.,text_extraction_agent,raw_text,the product provides the product provides 1maxframerateof60fpsisonlyachievablewithhighframeratemodeenabled.highframeratemodewilldisableanalytics.,1maxframerateof60fpsisonlyachievablewithhighframeratemodeenabledhighframeratemodewilldisableanalytics
The product provides the product provides LENSANDIR 4.4-9.3MM 10.9-29MM.,The product provides the product provides LENSANDIR 4.4-9.3MM 10.9-29MM.,text_extraction_agent,raw_text,the product provides the product provides lensandir 4.4-9.3mm 10.9-29mm.,lensandir_4493mm_10929mm
The product provides the product provides ILLUMINATION.,The product provides the product provides ILLUMINATION.,text_extraction_agent,raw_text,the product provides the product provides illumination.,illumination
The product provides the product provides IRIlluminationMaxDistance2 50m(164ft)fulltele 70m(230ft)fulltele.,The product provides the product provides IRIlluminationMaxDistance2 50m(164ft)fulltele 70m(230ft)fulltele.,text_extraction_agent,raw_text,the product provides the product provides irilluminationmaxdistance2 50m(164ft)fulltele 70m(230ft)fulltele.,irilluminationmaxdistance2_50m164ftfulltele_70m230ftfulltele
The product provides the product provides (highpower850nmLEDs) 25m(82ft)fullwide 40m(131ft)fullwide.,The product provides the product provides (highpower850nmLEDs) 25m(82ft)fullwide 40m(131ft)fullwide.,text_extraction_agent,raw_text,the product provides the product provides (highpower850nmleds) 25m(82ft)fullwide 40m(131ft)fullwide.,highpower850nmleds_25m82ftfullwide_40m131ftfullwide
The product provides the product provides Minimum 4MP WithIR:0luxinmonochromemode WithIR:0luxinmonochromemode.,The product provides the product provides Minimum 4MP WithIR:0luxinmonochromemode WithIR:0luxinmonochromemode.,text_extraction_agent,raw_text,the product provides the product provides minimum 4mp withir:0luxinmonochromemode withir:0luxinmonochromemode.,minimum_4mp_withir0luxinmonochromemode
The product provides the product provides Illumination WithoutIR:0.003luxinmonochrome WithoutIR:0.004luxinmonochromemode;0.01luxincolormode.,The product provides the product provides Illumination WithoutIR:0.003luxinmonochrome WithoutIR:0.004luxinmonochromemode;0.01luxincolormode.,text_extraction_agent,raw_text,the product provides the product provides illumination withoutir:0.003luxinmonochrome withoutir:0.004luxinmonochromemode;0.01luxincolormode.,illumination_withoutir0003luxinmonochrome_withoutir0004luxinmonochromemode001luxincolormode
The product provides the product provides mode;0.008luxincolormode.,The product provides the product provides mode;0.008luxincolormode.,text_extraction_agent,raw_text,the product provides the product provides mode;0.008luxincolormode.,mode0008luxincolormode
The product provides the product provides 8MP WithIR:0luxinmonochromemode WithIR:0luxinmonochromemode.,The product provides the product provides 8MP WithIR:0luxinmonochromemode WithIR:0luxinmonochromemode.,text_extraction_agent,raw_text,the product provides the product provides 8mp withir:0luxinmonochromemode withir:0luxinmonochromemode.,8mp_withir0luxinmonochromemode
The product provides the product provides WithoutIR:0.006luxinmonochrome WithoutIR:0.008luxinmonochromemode;0.03luxincolormode.,The product provides the product provides WithoutIR:0.006luxinmonochrome WithoutIR:0.008luxinmonochromemode;0.03luxincolormode.,text_extraction_agent,raw_text,the product provides the product provides withoutir:0.006luxinmonochrome withoutir:0.008luxinmonochromemode;0.03luxincolormode.,withoutir0006luxinmonochrome_withoutir0008luxinmonochromemode003luxincolormode
The product provides the product provides mode;0.02luxincolormode.,The product provides the product provides mode;0.02luxincolormode.,text_extraction_agent,raw_text,the product provides the product provides mode;0.02luxincolormode.,mode002luxincolormode
The product provides the product provides HorizontalAngle 4MP (16:9)47°–111° (16:9)15°–42°.,The product provides the product provides HorizontalAngle 4MP (16:9)47°–111° (16:9)15°–42°.,text_extraction_agent,raw_text,the product provides the product provides horizontalangle 4mp (16:9)47°–111° (16:9)15°–42°.,horizontalangle_4mp_16947111_1691542
The product provides the product provides ofViewBasedon (4:3)35°–78° (4:3)11°–31°.,The product provides the product provides ofViewBasedon (4:3)35°–78° (4:3)11°–31°.,text_extraction_agent,raw_text,the product provides the product provides ofviewbasedon (4:3)35°–78° (4:3)11°–31°.,ofviewbasedon_433578_431131
The product provides the product provides 8MP (16:9)47°–109° (16:9)15°–42°.,The product provides the product provides 8MP (16:9)47°–109° (16:9)15°–42°.,text_extraction_agent,raw_text,the product provides the product provides 8mp (16:9)47°–109° (16:9)15°–42°.,8mp_16947109_1691542
The product provides the product provides (4:3)35°–78° (4:3)11°–31°.,The product provides the product provides (4:3)35°–78° (4:3)11°–31°.,text_extraction_agent,raw_text,the product provides the product provides (4:3)35°–78° (4:3)11°–31°.,433578_431131
The product provides the product provides VerticalAngleof 4MP&8 (16:9)26°–57° (16:9)9°–23°.,The product provides the product provides VerticalAngleof 4MP&8 (16:9)26°–57° (16:9)9°–23°.,text_extraction_agent,raw_text,the product provides the product provides verticalangleof 4mp&8 (16:9)26°–57° (16:9)9°–23°.,verticalangleof_4mp8_1692657_169923
The product provides the product provides ViewBasedon MP (4:3)26°–57° (4:3)9°–23°.,The product provides the product provides ViewBasedon MP (4:3)26°–57° (4:3)9°–23°.,text_extraction_agent,raw_text,the product provides the product provides viewbasedon mp (4:3)26°–57° (4:3)9°–23°.,viewbasedon_432657_43923
The product provides the product provides MaxAperture F1.3 F1.7.,The product provides the product provides MaxAperture F1.3 F1.7.,text_extraction_agent,raw_text,the product provides the product provides maxaperture f1.3 f1.7.,maxaperture_f13_f17
"The product provides the product provides Control RemoteZoomandFocus,Autofocus,IRCutFilter.","The product provides the product provides Control RemoteZoomandFocus,Autofocus,IRCutFilter.",text_extraction_agent,raw_text,"the product provides the product provides control remotezoomandfocus,autofocus,ircutfilter.",control_remotezoomandfocusautofocusircutfilter
The product provides the product provides 2IRilluminationpowermaybereducedathigheroperatingtemperatures.,The product provides the product provides 2IRilluminationpowermaybereducedathigheroperatingtemperatures.,text_extraction_agent,raw_text,the product provides the product provides 2irilluminationpowermaybereducedathigheroperatingtemperatures.,2irilluminationpowermaybereducedathigheroperatingtemperatures
The product provides the product provides IMAGECONTROL.,The product provides the product provides IMAGECONTROL.,text_extraction_agent,raw_text,the product provides the product provides imagecontrol.,imagecontrol
"The product provides the product provides ImageCompressionMethod H.264HDSMSmartCodec,H.265HDSMSmartCodec,MotionJPEG.","The product provides the product provides ImageCompressionMethod H.264HDSMSmartCodec,H.265HDSMSmartCodec,MotionJPEG.",text_extraction_agent,raw_text,"the product provides the product provides imagecompressionmethod h.264hdsmsmartcodec,h.265hdsmsmartcodec,motionjpeg.",imagecompressionmethod_h264hdsmsmartcodech265hdsmsmartcodecmotionjpeg
"The product provides the product provides Streaming Multi-streamH.264,Multi-streamH.265,MotionJPEG.","The product provides the product provides Streaming Multi-streamH.264,Multi-streamH.265,MotionJPEG.",text_extraction_agent,raw_text,"the product provides the product provides streaming multi-streamh.264,multi-streamh.265,motionjpeg.",streaming_multistreamh264multistreamh265motionjpeg
The product provides the product provides MotionDetection Pixelmotion:Selectablesensitivityandthreshold.Classifiedobjectdetection.,The product provides the product provides MotionDetection Pixelmotion:Selectablesensitivityandthreshold.Classifiedobjectdetection.,text_extraction_agent,raw_text,the product provides the product provides motiondetection pixelmotion:selectablesensitivityandthreshold.classifiedobjectdetection.,motiondetection_pixelmotionselectablesensitivityandthresholdclassifiedobjectdetection
The product provides the product provides CameraTamperDetection Yes.,The product provides the product provides CameraTamperDetection Yes.,text_extraction_agent,raw_text,the product provides the product provides cameratamperdetection yes.,cameratamperdetection_yes
"The product provides the product provides ElectronicShutterControl Automatic,Manual(1/7.5to1/15000sec).","The product provides the product provides ElectronicShutterControl Automatic,Manual(1/7.5to1/15000sec).",text_extraction_agent,raw_text,"the product provides the product provides electronicshuttercontrol automatic,manual(1/7.5to1/15000sec).",electronicshuttercontrol_automaticmanual175to115000sec
