page,feature,source_kind
4,Poweror,text
4,PoE+,text
4,AbsoluteMaximum 74°C(165°F)perNEMATS2(Temp.)para2.2.7.2-2.2.7.7,text
4,Temperature,text
5,ENVIRONMENTAL INDOORDOME OUTDOORDOME,text
5,StorageTemperature -10°Cto+70°C(14°Fto158°F),text
5,Humidity 0-95%non-condensing,text
5,CERTIFICATIONS,text
5,"Certifications/Approvals UL,cUL,FCC,IC,Z-Wave",text
5,"SafetyStandards UL62368-1,CSA62368-1,IEC/EN62368-1,IEC62471,UL2043Plenum4",text
5,"Environmental IEC60529IP66,IP67,IP68(1.8mdepthfor2hours),NEMA4X,IEC60068-2Shock&Vibration,NEMATS2Sec2.2.7-",text
5,"Standards/Ratings 2.2.9,IK11",text
5,"ElectromagneticEmissions FCCPart15SubpartBClassB,ICES-003ClassB",text
5,Standards,text
5,ElectromagneticImmunity N/A,text
5,Standards,text
5,"Radio FCCPart15SubpartC,FCCKDB447498,RSS-210,RSS-102",text
5,Warranty Limited5YearWarranty(avigilon.com/warranty),text
5,4Onlyappliestothein-ceilingcameramodels.,text
5,Analytics Specifications,text
5,SUPPORTEDANALYTICSEVENTS1,text
5,ObjectsinArea Theeventistriggeredwhentheselectedobjecttypemovesintotheregionofinterest.Thiseventcanbeusedtocount,text
5,objects.,text
5,ObjectLoitering Theeventistriggeredwhentheselectedobjecttypemovesintotheregionofinterestandthenstaysforanextended,text
5,amountoftime.,text
5,ObjectsCrossingBeam Theeventistriggeredwhenthespecifiednumberofobjectshavecrossedthedirectionalbeamthatisconfiguredover,text
5,thecamera’sfieldofview.Thebeamcanbeunidirectionalorbidirectional.,text
5,ObjectAppearsorEnters Theeventistriggeredbyeachobjectthatenterstheregionofinterest.,text
5,Area,text
5,ObjectNotPresentinArea Theeventistriggeredwhennoobjectsarepresentintheregionofinterest.,text
5,ObjectsEnterArea Theeventistriggeredwhenthespecifiednumberofobjectshaveenteredtheregionofinterest.,text
5,ObjectsLeaveArea Theeventistriggeredwhenthespecifiednumberofobjectshavelefttheregionofinterest.,text
5,ObjectStopsinArea Theeventistriggeredwhenanobjectmovesintoaregionofinterestandthenstopsmovingforthespecifiedthreshold,text
5,time.,text
5,DirectionViolated Theeventistriggeredwhenanobjectmovesintheprohibiteddirectionoftravel.,text
5,"SmartMotionRule Eventsaresentforperson(includingcrawling)andvehiclepresent,againstdefaultunchangeableparameters",text
5,TamperDetection Theeventistriggeredwhenthesceneunexpectedlychanges.,text
5,CrowdSize Thiseventistriggeredwhenthenumberofpeopleisexceededoveraconfigurableduration.,text
5,UnusualCrowdGrowth Thiseventistriggeredwhenacrowdsizegrowsunexpectedly.,text
5,UnusualCrowdSize Thiseventistriggeredwhenanunusualcrowdsizeisdetected.,text
5,"1Analyticscapabilities,includingdetectionrange,mayvarybycameraline.PleaseconsulttheAvigilonSelf-LearningVideoAnalyticsDesignGuidefor",text
5,details.,text
6,SUPPORTEDCLASSIFIEDOBJECTTYPES,text
6,"ObjectTypesinOutdoor Vehicle,sub-types:Car,PickupTruck,LargeTruck,Van,Bicycle,Motorcycle,Bus",text
6,Mode Person,text
6,ObjectTypesinIndoor Person,text
6,Mode,text
6,TEACHBYEXAMPLE,text
6,"TeachByExample Yes,whenusedwithAvigilonControlCenter™orAvigilonUnityVideo",text
6,SUPPORTEDAUDIOANALYTICSEVENTS,text
6,Scream Upto15meters,text
6,GlassBreak Upto15meters,text
6,CarAlarm Upto30meters,text
6,SmokeAlarm Upto15meters,text
6,DogBark Upto15meters,text
6,TireScreech2 Upto15meters,text
6,LoudNoise Upto40meters,text
6,UltrasonicPanicAlarm3 Upto40meters,text
6,2Thedetectionrangeislimitedtoupto8metersinloudenvironments.,text
6,3Thedetectionrangeisinfluencedbythequalityandpowerofthedeviceusedtocreatethepanicalarm.,text
6,AVIGILONSOFTWARESUPPORTEDFEATURES,text
6,AvigilonUnityVideo8.4or AlladvancedZ-Wavecompatibilityfeatures.,text
6,higher,text
6,AvigilonUnityVideo8.0or Allsupportedanalyticeventswithpeopleandvehiclesandallvehiclesub-typesasclassifiedobjects.Appearance,text
6,higher searchwhenpairedwithappropriateserverhardware.UnusualActivityDetection.H.265supported.Audioanalytics.,text
6,Crowdanalytics.Classifiedobjectprivacymasking.,text
6,ACCVersion7.2orhigher Allsupportedanalyticeventswithpeopleandvehiclesasclassifiedobjects.Appearancesearchwhenpairedwith,text
6,appropriateserverhardware.UnusualActivityDetection.H.265supported.,text
7,Outline Dimensions,text
7,Dome Camera with Surface Mount,text
7,(H6XPDomecamera+providedsurfacemount),text
7,[X.XX] INCHES,text
7,X.X MM,text
7,Dome Camera with In-Ceiling Mount,text
7,(H6XPDomecamera+CLADP-1001),text
8,Dome Camera WITH NPT Adapter,text
8,(H6XPDomecamera+H6A-MT-NPTA1),text
8,Dome Camera WITH NPT Adapter and Pendant wall mount,text
8,(H6XPDomecamera+H6A-MT-NPTA1+WLMT-1021),text
9,Z-Wave Sensors,text
9,Z-WaveDoorContactSensor(SM810),text
9,Z-WaveOutdoorMotionSensor(SP816),text
10,Z-WaveIndoorMotionSensor(SP817),text
10,Z-WavePanicButton(AC136),text
11,Ordering Information,text
11,MOUNTINGSCENARIO ORDERINGINFORMATION,text
11,PendantWallMount Orderoneof:,text
11,l Indoororoutdoorsurfacemount,text
11,camera,text
11,l H6A-MT-NPTA1,text
11,l WLMT-1021,text
11,Optional:,text
11,l PLMT-1001(Polemountadapter),text
11,l CRNMT-1001(Cornermountadapter),text
11,PendantNPTMount Orderoneof:,text
11,l Indoororoutdoorsurfacemount,text
11,camera,text
11,l H6A-MT-NPTA1,text
11,SurfaceMount Orderoneof:,text
11,l Indoororoutdoorsurfacemount,text
11,camera,text
11,Optional:,text
11,l DMSLD-1001(weathershield),text
11,In-CeilingMount Orderoneof:,text
11,l Indoororoutdoorin-ceilingmount,text
11,camera,text
11,l CLADP-1001,text
11,Optional:,text
11,l CLPNL-1011(metalceilingpanel),text
12,Dome Camera,text
12,MODEL MP WDR LIGHTCATCHER LENS IR ANALYTICS HDSM MICROPHONE,text
12,TECHNOLOGY SMARTCODEC,text
12,4.4-9.3,text
12,4.0C-H6XP-DO1-IR-NA 4.0 ✓ ✓ ✓ ✓ ✓ ✓,text
12,10.9-29,text
12,4.0C-H6XP-DO2-IR-NA 4.0 ✓ ✓ ✓ ✓ ✓ ✓,text
12,4.4-9.3,text
12,8.0C-H6XP-DO1-IR-NA 8.0 ✓ ✓ ✓ ✓ ✓ ✓,text
12,10.9-29,text
12,8.0C-H6XP-DO2-IR-NA 8.0 ✓ ✓ ✓ ✓ ✓ ✓,text
12,Z-Wave Sensors,text
12,SM810-NA-AVO Z-Wavedoorcontactsensor,text
12,SP816-NA-AVO Z-Waveoutdoormotionsensor,text
12,SP817-NA-AVO Z-Waveindoormotionsensor,text
12,AC136-NA-AVO Z-Wavepanicbutton,text
12,Dome Camera Accessories,text
12,H6A-MT-NPTA1 PendantNPTadapter,text
12,"WLMT-1021 Pendantwallarm,1.5""NPTfemale,20cm(7.8"")long",text
12,CLADP-1001 In-Ceilingadapter,text
12,CLPNL-1011 Metalceilingpanelforsuspendedceilinginstallations,text
12,DMSLD-1001 Weathershieldfordomecameras,text
12,DMBBL-1001 Replacementcleardomebubble,text
12,DMBBL-1011 ReplacementIRdomebubble,text
12,"DMSBL-1001 Optionalsmokeddomebubble,notcompatiblewiththeIRcameras",text
12,"GROM-1001 Camerasealinggrommet,packof10",text
12,"GROM-1011 Pipesealinggrommet,packof10",text
12,PLMT-1001 Polemountadapter,text
12,CRNMT-1001 Cornermountadapter,text
12,CAM-FIPS CameralicensetoenableFIPScryptographicmodule.,text
13,Support,text
13,"Forproductsupport,visit:avigilon.comorsales@avigilon.com",text
13,"To learn more, visit: avigilon.com",text
13,"MotorolaSolutions,Inc.500WestMonroeStreet,Chicago,IL60661U.S.A.motorolasolutions.com",text
13,"©2025,AvigilonCorporation.Allrightsreserved.MOTOROLA,MOTO,MOTOROLASOLUTIONSandtheStylizedMLogoaretrademarksorregisteredtrademarksof",text
13,"MotorolaTrademarkHoldings,LLCandareusedunderlicense.Allothertrademarksarethepropertyoftheirrespectiveowners.",text
13,20250908-enRev2,text
